[2023-11-16 18:14:55,724: INFO: main: Welcome to our custom log.]
[2023-11-16 18:19:54,377: INFO: main: Welcome to our custom log.]
[2023-11-16 20:18:40,322: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-16 20:18:40,334: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-16 20:18:40,341: INFO: common: created directory at: artifacts]
[2023-11-16 20:18:40,352: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-16 20:18:49,764: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-16 20:18:49,771: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-16 20:18:49,774: INFO: common: created directory at: artifacts]
[2023-11-16 20:18:49,777: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-16 20:19:08,324: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-16 20:19:08,333: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-16 20:19:08,335: INFO: common: created directory at: artifacts]
[2023-11-16 20:19:08,338: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-16 20:19:08,340: INFO: 690492142: Downloading data from https://drive.google.com/file/d/1Sm3W06lYtO1f3i6RM0z3iiET1zdBj6AO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-16 20:19:27,490: INFO: 690492142: Downloaded data from https://drive.google.com/file/d/1Sm3W06lYtO1f3i6RM0z3iiET1zdBj6AO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-16 20:37:35,535: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2023-11-16 20:37:35,545: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-16 20:37:35,552: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-16 20:37:35,559: INFO: common: created directory at: artifacts]
[2023-11-16 20:37:35,564: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-16 20:37:35,567: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Sm3W06lYtO1f3i6RM0z3iiET1zdBj6AO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-16 20:37:55,611: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Sm3W06lYtO1f3i6RM0z3iiET1zdBj6AO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-16 20:40:09,912: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<

x=========x]
